Date,Open,High,Low,Close,Adj Close,Volume
29/04/19,27.9,28.14,27.5,27.690001,27.690001,44532700
30/04/19,27.59,27.8,26.94,27.629999,27.629999,73165900
1/5/2019,28.950001,29.15,26.78,26.809999,26.809999,136066900
2/5/2019,26.940001,28.64,26.61,28.290001,28.290001,100514800
3/5/2019,28.299999,28.42,27.66,28.219999,28.219999,55503100
6/5/2019,26.719999,27.5,26.45,27.42,27.42,70344100
7/5/2019,27.200001,27.35,26.21,26.66,26.66,75868800
8/5/2019,26.41,27.71,26.27,27.09,27.09,65967500
9/5/2019,26.700001,27.38,26.03,27.209999,27.209999,73150900
10/5/2019,27.030001,28.1,26.93,27.959999,27.959999,82930100
13/05/19,26.98,27.23,26.1,26.24,26.24,99017900
14/05/19,26.530001,27.48,26.15,27.32,27.32,82980400
15/05/19,26.870001,27.79,26.73,27.58,27.58,55689900
16/05/19,27.370001,28.37,27.27,28.01,28.01,67330100
17/05/19,27.690001,28.46,27.4,27.5,27.5,65385400
20/05/19,26.98,27.24,26.49,26.68,26.68,69757400
21/05/19,27.18,27.37,26.93,27.35,27.35,46079200
22/05/19,27.120001,27.59,27.07,27.41,27.41,40035300
23/05/19,26.99,27.1,26.03,26.360001,26.360001,67809200
24/05/19,26.610001,26.93,26.4,26.440001,26.440001,39835800
28/05/19,27.27,29.67,27.06,29.049999,29.049999,146949600
29/05/19,29,29.32,27.73,28.09,28.09,99969600
30/05/19,28.4,28.56,27.6,28.030001,28.030001,65289100
31/05/19,27.57,28.36,27.4,27.41,27.41,68667800
3/6/2019,28.75,29.62,27.29,27.58,27.58,147532200
4/6/2019,28.389999,29.59,27.91,29.57,29.57,107549500
5/6/2019,29.93,29.99,29.03,29.5,29.5,79481500
6/6/2019,29.870001,31.98,29.84,31.82,31.82,131267800
7/6/2019,31.940001,32.6,31.57,32.41,32.41,86841100
10/6/2019,33.529999,34.3,33.08,33.23,33.23,97668800
11/6/2019,33.43,33.49,31.82,32.41,32.41,82834900
12/6/2019,32,32.57,31.92,32.18,32.18,56194100
13/06/19,32.389999,32.5,31.06,31.389999,31.389999,63556000
14/06/19,30.700001,30.96,30.02,30.360001,30.360001,70373000
17/06/19,30.25,30.45,29.18,29.200001,29.200001,70865700
18/06/19,29.76,30.97,29.58,30.450001,30.450001,86444500
19/06/19,30.67,30.79,30.06,30.5,30.5,63233900
20/06/19,31.24,31.36,29.84,30.01,30.01,72418200
21/06/19,29.65,30.35,28.97,29.1,29.1,81861300
24/06/19,29.32,29.4,28.67,29.26,29.26,55724800
25/06/19,29.26,29.72,28.8,28.860001,28.860001,53680900
26/06/19,29.98,30.48,29.78,29.92,29.92,65064200
27/06/19,30.41,30.96,30.21,30.74,30.74,55623300
28/06/19,31.08,31.11,30.33,30.370001,30.370001,50090900
1/7/2019,31.790001,32.04,30.87,31.200001,31.200001,60525500
2/7/2019,30.959999,31.26,30.73,31.24,31.24,37721700
3/7/2019,31.129999,31.33,30.74,31.190001,31.190001,23462000
5/7/2019,30.879999,31.56,30.75,31.5,31.5,34011900
8/7/2019,31.799999,32.15,31.26,32.040001,32.040001,49689400
9/7/2019,31.76,33.18,30.1,33.150002,33.150002,61419800
10/7/2019,33.560001,34.03,33.36,33.790001,33.790001,60388400
11/7/2019,33.91,34,32.76,33.060001,33.060001,63081800
12/7/2019,32.759998,33.39,32.59,33.209999,33.209999,51509700
15/07/19,33.34,34.55,33.27,34.389999,34.389999,65565200
16/07/19,34.299999,34.86,33.8,33.849998,33.849998,66912700
17/07/19,34.009998,34.3,33.49,33.599998,33.599998,42557900
18/07/19,33.029999,33.46,32.42,33,33,58610900
19/07/19,33.080002,33.35,32.45,32.509998,32.509998,44617700
22/07/19,32.799999,33.31,32.74,32.849998,32.849998,37777300
23/07/19,33.169998,33.5,32.93,33.490002,33.490002,38532500
24/07/19,33.639999,34.36,33.45,34.110001,34.110001,41952300
25/07/19,34.049999,34.25,33.62,33.669998,33.669998,36705600
26/07/19,34.23,34.77,33.87,34.02,34.02,43502800
29/07/19,34.139999,34.18,32.98,33.48,33.48,45922000
30/07/19,33.209999,33.94,32.94,33.869999,33.869999,72198900
31/07/19,32.080002,32.3,30.3,30.450001,30.450001,119190000
1/8/2019,30.5,31.48,29.1,29.860001,29.860001,80878900
2/8/2019,29.48,29.73,28.94,29.440001,29.440001,60410900
5/8/2019,28.26,28.49,27.65,27.99,27.99,74333200
6/8/2019,28.860001,29.05,28.2,28.860001,28.860001,60578400
7/8/2019,28.469999,29.28,28.37,29.190001,29.190001,58577500
8/8/2019,31.530001,34.27,31.48,33.919998,33.919998,167278800
9/8/2019,33.450001,35.55,33.08,34.189999,34.189999,132483900
12/8/2019,34.16,34.65,32.08,32.43,32.43,106737000
13/08/19,32.360001,33.14,31.72,32.110001,32.110001,102009700
14/08/19,31,31.05,29.51,30.24,30.24,127521500
